# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695828921202,-0.041992188,-0.8486328,0.5175781,0.25,0.3125,0.0625,0.0,0.0,0.0
1695828921242,-0.040039062,-0.85253906,0.5107422,-0.03125,0.0,-0.125,0.0,0.0,0.0
1695828921282,-0.038085938,-0.84375,0.50097656,0.0625,0.1875,-0.0625,0.0,0.0,0.0
1695828921322,-0.045898438,-0.84765625,0.5214844,0.125,0.375,-0.1875,0.0,0.0,0.0
1695828921362,-0.0390625,-0.8466797,0.5107422,-0.15625,0.3125,0.0625,0.0,0.0,0.0
1695828921402,-0.041992188,-0.8457031,0.5097656,-0.03125,-0.125,-0.125,0.0,0.0,0.0
1695828921442,-0.041015625,-0.8544922,0.5214844,-0.03125,0.0,0.1875,0.0,0.0,0.0
1695828921482,-0.045898438,-0.84277344,0.50683594,-0.46875,-0.1875,0.0625,53.375,-67.75,-76.125
1695828921522,-0.038085938,-0.8496094,0.5058594,0.0,-0.25,-0.3125,0.0,0.0,0.0
1695828921562,-0.038085938,-0.8457031,0.51171875,-0.15625,-0.3125,-0.25,0.0,0.0,0.0
1695828921602,-0.038085938,-0.8535156,0.5058594,0.3125,0.0,-0.0625,0.0,0.0,0.0
1695828921642,-0.041015625,-0.8466797,0.51464844,0.125,-0.0625,-0.0625,0.0,0.0,0.0
1695828921682,-0.034179688,-0.85546875,0.51953125,0.0,0.125,-0.0625,0.0,0.0,0.0
1695828921722,-0.048828125,-0.8496094,0.50390625,-0.34375,0.1875,0.0625,0.0,0.0,0.0
1695828921762,-0.040039062,-0.84375,0.50878906,-0.15625,0.0,-0.1875,0.0,0.0,0.0
1695828921802,-0.038085938,-0.8535156,0.5136719,-0.03125,0.0,0.25,0.0,0.0,0.0
1695828921842,-0.037109375,-0.8613281,0.5097656,-0.21875,-0.0625,0.0,0.0,0.0,0.0
1695828921882,-0.047851562,-0.85253906,0.49609375,-0.15625,-0.125,0.1875,0.0,0.0,0.0
1695828921922,-0.034179688,-0.8564453,0.5078125,0.1875,-0.0625,0.0625,0.0,0.0,0.0
1695828921963,-0.03515625,-0.83984375,0.5175781,-0.28125,0.0625,0.125,53.375,-66.25,-75.8125
